trophicDiet,trophicOrig,Picture,rachelSpp,rachelCommon,trophicLevel,trophicLevel.se,spp,common,phylum,taxLvl,species,genus,family,order,class,superclass,subphylum,kingdom,raw.spp,isSpecies,correctSpp
y,y,y,Chaetodon ocellatus,spotfin butterflyfish,3.7,0.17,Chaetodon ocellatus,spotfin butterflyfish,Chordata,Species,Chaetodon ocellatus,Chaetodon,Chaetodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAETODO OCELLATUS,TRUE,TRUE
y,y,y,Chaetodon ocellatus,spotfin butterflyfish,3.7,0.17,Chaetodon ocellatus,spotfin butterflyfish,Chordata,Species,Chaetodon ocellatus,Chaetodon,Chaetodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAETODON OCELLATUS,TRUE,TRUE
y,y,y,Chaetodon sedentarius,reef butterflyfish,3.85,0.42,Chaetodon sedentarius,reef butterflyfish,Chordata,Species,Chaetodon sedentarius,Chaetodon,Chaetodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAETODO SEDETARIUS,TRUE,TRUE
,,,,,NA,NA,Chaetognatha,arrow worms,Chaetognatha,Phylum,NA,NA,NA,NA,NA,NA,NA,Animalia,Chaetognatha unid.,FALSE,TRUE
,,,,,NA,NA,Chaetopterus,Leuchtender Borstenflosser,Annelida,Genus,NA,Chaetopterus,Chaetopteridae,Canalipalpata,Sedentaria,NA,Polychaeta,Animalia,CHAETOPTERUS,FALSE,TRUE
,,,,,NA,NA,Chaetopterus,Leuchtender Borstenflosser,Annelida,Genus,NA,Chaetopterus,Chaetopteridae,Canalipalpata,Sedentaria,NA,Polychaeta,Animalia,Chaetopterus sp.,FALSE,TRUE
n,y,y,Chascanopsetta lugubris,pelican flounder,3.5,0.37,Chascanopsetta lugubris,pelican flounder,Chordata,Species,Chascanopsetta lugubris,Chascanopsetta,Bothidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHASCAOPSETTA LUGUBRIS,TRUE,TRUE
NA,NA,NA,Chasmocarcinus mississippiensis,roughwrist softcrab,NA,NA,Chasmocarcinus mississippiensis,roughwrist soft crab,Arthropoda,Species,Chasmocarcinus mississippiensis,Chasmocarcinus,Goneplacidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,CHASMOCARCIUS MISSISSIPPIESIS,TRUE,TRUE
,,,,,NA,NA,Chauliodontidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chauliodontidae,FALSE,TRUE
,,,,,NA,NA,Chauliodontidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHAULIODONTIDAE,FALSE,TRUE
,,,,,NA,NA,Chauliodontinae,viperfishes,Chordata,Subfamily,NA,NA,Stomiidae,Stomiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chauliodontinae,FALSE,TRUE
n,y,y,Chauliodus danae,dana viperfish,4.01,0.66,Chauliodus danae,NA,Chordata,species,Chauliodus danae,Chauliodus,Stomiidae,Stomiiformes,Actinopteri,Actinopterygii,Craniata,Metazoa,CHAULIODUS DANAE,TRUE,TRUE
y,y,y,Chauliodus macouni,pacific viperfish,4.5,0.37,Chauliodus macouni,Pacific viperfish,Chordata,Species,Chauliodus macouni,Chauliodus,Stomiidae,Stomiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chauliodus macouni,TRUE,TRUE
y,y,y,Chauliodus sloani,Sloane's viperfish,4.2,0.73,Chauliodus sloani,Sloane's viperfish,Chordata,Species,Chauliodus sloani,Chauliodus,Stomiidae,Stomiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAULIODUS SLOANI,TRUE,TRUE
,,,,,NA,NA,Chaunax,Pink frogmouth,Chordata,Genus,NA,Chaunax,Chaunacidae,Lophiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAUNAX SP.,FALSE,TRUE
NA,NA,y,Chaunax stigmaeus,redeye gaper,NA,NA,Chaunax stigmaeus,redeye gaper,Chordata,Species,Chaunax stigmaeus,Chaunax,Chaunacidae,Lophiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHAUNAX STIGMAEUS,TRUE,TRUE
NA,NA,n,Cheilonereis cyclurus,NA,NA,NA,Cheilonereis cyclurus,NA,Annelida,Species,Cheilonereis cyclurus,Cheilonereis,Nereididae,Phyllodocida,Errantia,NA,Polychaeta,Animalia,Cheilonereis cyclurus,TRUE,TRUE
n,y,y,Cheilotrema saturnum,black croaker,3.55,0.6,Cheilotrema saturnum,black croaker,Chordata,Species,Cheilotrema saturnum,Cheilotrema,Sciaenidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Cheilotrema saturnum,TRUE,TRUE
,,,,,NA,NA,Cheiraster,NA,Echinodermata,Genus,NA,Cheiraster,Benthopectinidae,Notomyotida,Asteroidea,NA,Asterozoa,Animalia,Cheiraster sp. A (Clark 2006),FALSE,TRUE
NA,NA,y,Cheiraster dawsoni,sea star,NA,NA,Cheiraster dawsoni,sea star,Echinodermata,Species,Cheiraster dawsoni,Cheiraster,Benthopectinidae,Notomyotida,Asteroidea,NA,Asterozoa,Animalia,Cheiraster dawsoni,TRUE,TRUE
y,y,y,Chelonia mydas,green sea turtle,2,0,Chelonia mydas,green sea turtle,Chordata,Species,Chelonia mydas,Chelonia,Cheloniidae,Testudines,Reptilia,Tetrapoda,Vertebrata,Animalia,CHELONIA MYDAS,TRUE,TRUE
NA,NA,NA,Chelyosoma orientale,NA,NA,NA,Chelyosoma orientale,NA,Chordata,Species,Chelyosoma orientale,Chelyosoma,Corellidae,Enterogona,Ascidiacea,NA,Urochordata,Animalia,Chelyosoma orientale,TRUE,TRUE
NA,NA,NA,Chelyosoma productum,NA,NA,NA,Chelyosoma productum,NA,Chordata,Species,Chelyosoma productum,Chelyosoma,Corellidae,Enterogona,Ascidiacea,NA,Urochordata,Animalia,Chelyosoma productum,TRUE,TRUE
NA,NA,y,Chesnonia verrucosa,warty poacher,NA,NA,Chesnonia verrucosa,warty poacher,Chordata,Species,Chesnonia verrucosa,Chesnonia,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chesnonia verrucosa,TRUE,TRUE
,,,,,NA,NA,Chiasmodon,beach mole crab,Chordata,genus,NA,Chiasmodon,Chiasmodontidae,Scombriformes,Actinopteri,Actinopterygii,Craniata,Metazoa,CHIASMODON SP.,FALSE,TRUE
n,y,y,Chiasmodon niger,black swallower,4.2,0.73,Chiasmodon niger,black swallower,Chordata,Species,Chiasmodon niger,Chiasmodon,Chiasmodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chiasmodon niger,TRUE,TRUE
n,y,y,Chiasmodon niger,black swallower,4.2,0.73,Chiasmodon niger,black swallower,Chordata,Species,Chiasmodon niger,Chiasmodon,Chiasmodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHIASMODON NIGER,TRUE,TRUE
,,,,,NA,NA,Chiasmodontidae,black swallowers,Chordata,Family,NA,NA,Chiasmodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chiasmodontidae,FALSE,TRUE
,,,,,NA,NA,Chiasmodontidae,black swallowers,Chordata,Family,NA,NA,Chiasmodontidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHIASMODONTIDAE,FALSE,TRUE
n,y,y,Chilara taylori,spotted cusk-eel,4.07,0.57,Chilara taylori,spotted cusk-eel,Chordata,Species,Chilara taylori,Chilara,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chilara taylori,TRUE,TRUE
,,,,,NA,NA,Chilomycterus,burrfishes,Chordata,Genus,NA,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS,FALSE,TRUE
,,,,,NA,NA,Chilomycterus,burrfishes,Chordata,Genus,NA,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS ATEATUS,TRUE,TRUE
n,y,y,Chilomycterus reticulatus,spotfin burrfish,3.45,0.41,Chilomycterus atinga,NA,Chordata,Species,Chilomycterus reticulatus,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS ATIGA,TRUE,TRUE
n,y,y,Chilomycterus reticulatus,spotfin burrfish,3.45,0.41,Chilomycterus atringa,soft corals,Chordata,Species,Chilomycterus reticulatus,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS ATRINGA,TRUE,TRUE
n,y,y,Chilomycterus schoepfii,striped burrfish,3.5,0.37,Chilomycterus schoepfi,striped burrfish,Chordata,Species,Chilomycterus schoepfii,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS SCHOEPFI,TRUE,TRUE
n,y,y,Chilomycterus schoepfii,striped burrfish,3.5,0.37,Chilomycterus schoepfii,striped burrfish,Chordata,Species,Chilomycterus schoepfii,Chilomycterus,Diodontidae,Tetraodontiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHILOMYCTERUS SCHOEPFII,TRUE,TRUE
,,,,,NA,NA,Chimaeridae,shortnose chimaeras,Chordata,Family,NA,NA,Chimaeridae,Chimaeriformes,Chondrichthyes,Chondrichthyes,Vertebrata,Animalia,CHIMAERIDAE,FALSE,TRUE
,,,,,NA,NA,Chimaeriformes,chimaeras,Chordata,Order,NA,NA,NA,Chimaeriformes,Chondrichthyes,Chondrichthyes,Vertebrata,Animalia,CHIMAERIFORMES (HOLOCEPHALI) (ORDER),FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,Chioe clechii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHIOE CLECHII,TRUE,FALSE
,,,,,NA,NA,Chione,venus fly-trap anemone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHIOE,FALSE,TRUE
NA,NA,NA,NA,NA,NA,NA,Chione latilirata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHIOE LATILIRATA,TRUE,TRUE
,,,,,NA,NA,Chionoecetes,snow crabs,Arthropoda,Genus,NA,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes hybrid,TRUE,TRUE
,,,,,NA,NA,Chionoecetes,snow crabs,Arthropoda,Genus,NA,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes sp.,FALSE,TRUE
,,,,,NA,NA,Chionoecetes,snow crabs,Arthropoda,Genus,NA,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,CHIONOECETES SP. (OBSOLETE),FALSE,TRUE
,,,,,NA,NA,Chionoecetes,snow crabs,Arthropoda,Genus,NA,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes spp.,FALSE,TRUE
NA,NA,y,Chionoecetes angulatus,triangle tanner crab,NA,NA,Chionoecetes angulatus,triangle Tanner crab,Arthropoda,Species,Chionoecetes angulatus,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes angulatus,TRUE,TRUE
y,y,y,Chionoecetes bairdi,tanner crab,3.08,0.49,Chionoecetes bairdi,Tanner crab,Arthropoda,Species,Chionoecetes bairdi,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes bairdi,TRUE,TRUE
NA,NA,y,Chionoecetes opilio,snow crab,NA,NA,Chionoecetes opilio,snow crab,Arthropoda,Species,Chionoecetes opilio,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes opilio,TRUE,TRUE
NA,NA,y,Chionoecetes opilio,snow crab,NA,NA,Chionoecetes opilio,snow crab,Arthropoda,Species,Chionoecetes opilio,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,CHIONOECETES OPILIO,TRUE,TRUE
NA,NA,y,Chionoecetes tanneri,grooved tanner crab,NA,NA,Chionoecetes tanneri,grooved Tanner crab,Arthropoda,Species,Chionoecetes tanneri,Chionoecetes,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chionoecetes tanneri,TRUE,TRUE
,,,,,NA,NA,Chiridota,silky cucumber,Echinodermata,Genus,NA,Chiridota,Chiridotidae,Apodida,Holothuroidea,NA,Echinozoa,Animalia,Chiridota sp.,FALSE,TRUE
,,,,,NA,NA,Chiridotidae,NA,Echinodermata,Family,NA,NA,Chiridotidae,Apodida,Holothuroidea,NA,Echinozoa,Animalia,CHIRIDOTIDAE,FALSE,TRUE
,,,,,NA,NA,Chirolophis,warbonnets,Chordata,Genus,NA,Chirolophis,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chirolophis sp.,FALSE,TRUE
NA,NA,y,Chirolophis decoratus,decorated warbonnet,NA,NA,Chirolophis decoratus,decorated warbonnet,Chordata,Species,Chirolophis decoratus,Chirolophis,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chirolophis decoratus,TRUE,TRUE
n,y,y,Chirolophis nugator,mosshead warbonnet,3.6,0.5,Chirolophis nugator,mosshead warbonnet,Chordata,Species,Chirolophis nugator,Chirolophis,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chirolophis nugator,TRUE,TRUE
NA,NA,n,Chirolophis snyderi,bearded warbonnet,NA,NA,Chirolophis snyderi,bearded warbonnet,Chordata,Species,Chirolophis snyderi,Chirolophis,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chirolophis snyderi,TRUE,TRUE
NA,NA,n,Chirolophis tarsodes,matcheek warbonnet,NA,NA,Chirolophis tarsodes,matcheek warbonnet,Chordata,Species,Chirolophis tarsodes,Chirolophis,Stichaeidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chirolophis tarsodes,TRUE,TRUE
NA,NA,NA,Chirona evermanni,NA,NA,NA,Chirona evermanni,barnacle,Arthropoda,Species,Chirona evermanni,Chirona,Archaeobalanidae,Sessila,Maxillopoda,NA,Crustacea,Animalia,Balanus evermanni,TRUE,TRUE
NA,NA,y,Chiropsalmus quadrumanus,box jelly,NA,NA,Chiropsalmus quadrumanus,Four-handed Box Jellyfish,Cnidaria,Species,Chiropsalmus quadrumanus,Chiropsalmus,Chiropsalmidae,Chirodropida,Cubozoa,NA,Medusozoa,Animalia,CHIROPSALMUS QUADRUMAUS,TRUE,TRUE
,,,,,NA,NA,Chirostylus,Spider Squat Lobster,Arthropoda,Genus,NA,Chirostylus,Chirostylidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chirostylus sp.,FALSE,TRUE
,,,,,NA,NA,Chirostylus,Spider Squat Lobster,Arthropoda,Genus,NA,Chirostylus,Chirostylidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chirostylus spp.,FALSE,TRUE
,,,,,NA,NA,Chiroteuthis,Long-armed squid,Mollusca,Genus,NA,Chiroteuthis,Chiroteuthidae,Teuthida,Cephalopoda,NA,NA,Animalia,CHIROTEUTHIS  SP.,FALSE,TRUE
,,,,,NA,NA,Chiroteuthis,Long-armed squid,Mollusca,Genus,NA,Chiroteuthis,Chiroteuthidae,Teuthida,Cephalopoda,NA,NA,Animalia,Chiroteuthis sp.,FALSE,TRUE
NA,NA,NA,Chiroteuthis calyx,NA,NA,NA,Chiroteuthis calyx,Oceanic squid,Mollusca,Species,Chiroteuthis calyx,Chiroteuthis,Chiroteuthidae,Teuthida,Cephalopoda,NA,NA,Animalia,Chiroteuthis calyx,TRUE,TRUE
,,,,,NA,NA,Chiton,West Indian green chiton,Mollusca,Genus,NA,Chiton,Chitonidae,Chitonida,Polyplacophora,NA,NA,Animalia,CHITO,FALSE,TRUE
n,y,y,Chitonotus pugetensis,roughback sculpin,3.55,0.55,Chitonotus pugetensis,roughback sculpin,Chordata,Species,Chitonotus pugetensis,Chitonotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Chitonotus pugetensis,TRUE,TRUE
,,,,,NA,NA,Chlamylla,NA,Mollusca,Genus,NA,Chlamylla,Flabellinidae,Nudibranchia,Gastropoda,NA,NA,Animalia,Chlamylla sp.,FALSE,TRUE
,,,,,NA,NA,Chlamys,scallops,Mollusca,Genus,NA,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys sp.,FALSE,TRUE
NA,NA,n,Chlamys albida,white scallop,NA,NA,Chlamys albida,white scallop,Mollusca,Species,Chlamys albida,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys albida,TRUE,TRUE
NA,NA,NA,Chlamys behringiana,bering scallop,NA,NA,Chlamys behringiana,Bering scallop,Mollusca,Species,Chlamys behringiana,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys behringiana,TRUE,TRUE
NA,NA,NA,Chlamys benedicti,yellow-spot scallop,NA,NA,Chlamys benedicti,Benedict scallop,Mollusca,Species,Spathochlamys benedicti,Spathochlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,CHLAMYS BEEDICTI,TRUE,TRUE
NA,NA,NA,NA,NA,NA,NA,Chlamys erythrocomatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chlamys erythocomata,TRUE,TRUE
NA,NA,NA,Chlamys hastata,spiny scallop,NA,NA,Chlamys hastata,spear scallop,Mollusca,Species,Chlamys hastata,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys hastata,TRUE,TRUE
NA,NA,NA,NA,NA,NA,NA,Chlamys hastata hericia,Alaska-Kammmuschel,Mollusca,Subspecies,Chlamys hastata,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys hastata hericia,TRUE,TRUE
NA,NA,NA,Chlamys islandica,iceland scallop,NA,NA,Chlamys islandica,Iceland scallop,Mollusca,Species,Chlamys islandica,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,CHLAMYS ISLANDICA,TRUE,TRUE
NA,NA,NA,Chlamys islandica,iceland scallop,NA,NA,Chlamys islandica,Iceland scallop,Mollusca,Species,Chlamys islandica,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,CHLAMYS ISLANDICA CLAPPER,TRUE,TRUE
NA,NA,NA,Chlamys pseudislandica,NA,NA,NA,Chlamys pseudislandica,NA,Mollusca,Species,Chlamys pseudislandica,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys pseudoislandica,TRUE,TRUE
NA,NA,NA,Chlamys rubida,reddish scallop,NA,NA,Chlamys rubida,reddish scallop,Mollusca,Species,Chlamys rubida,Chlamys,Pectinidae,Ostreoida,Bivalvia,NA,NA,Animalia,Chlamys rubida,TRUE,TRUE
NA,NA,y,Chloeia viridis,NA,NA,NA,Chloeia viridis,NA,Annelida,Species,Chloeia viridis,Chloeia,Amphinomidae,Amphinomida,Errantia,NA,Polychaeta,Animalia,CHLOEIA VIRIDIS,TRUE,TRUE
,,,,,NA,NA,Chlorophthalmidae,greeneyes,Chordata,Family,NA,NA,Chlorophthalmidae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHLOROPHTHALMIDAE,FALSE,TRUE
,,,,,NA,NA,Chlorophthalminae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHLOROPHTHALAMIDAE,FALSE,TRUE
,,,,,NA,NA,Chlorophthalmus,Yeux verts,Chordata,Genus,NA,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHLOROPHTHALMUS,FALSE,TRUE
y,n,y,Chlorophthalmus agassizi,shortnose greeneye,3.56,0.36,Chlorophthalmus agassizi,shortnose greeneye,Chordata,Species,Chlorophthalmus agassizi,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHLOROPHTHALMUS AGASSIZI,TRUE,TRUE
y,n,y,Chlorophthalmus agassizi,shortnose greeney,3.56,0.36,Chlorophthalmus agassizii,shortnose greeneye,Chordata,Species,Chlorophthalmus agassizi,Chlorophthalmus,Chlorophthalmidae,Aulopiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHLOROPHTHALMUS AGASSIZII,TRUE,TRUE
y,y,y,Chloroscombrus chrysurus,atlantic bumper,3.54,0.21,Chloroscombrus chrysurus,Atlantic bumper,Chordata,Species,Chloroscombrus chrysurus,Chloroscombrus,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHLOROSCOMBRUS CHRYSURUS,TRUE,TRUE
NA,NA,y,Chondrocladia gigantea,NA,NA,NA,Chondrocladia gigantea,Giant carniverous club sponge,Porifera,Species,Chondrocladia gigantea,Chondrocladia,Cladorhizidae,Poecilosclerida,Demospongiae,NA,NA,Animalia,Chondrocladia gigantea,TRUE,TRUE
,,,,,NA,NA,Chone,NA,Annelida,Genus,NA,Chone,Sabellidae,Canalipalpata,Sedentaria,NA,Polychaeta,Animalia,CHONE SP.,FALSE,TRUE
NA,NA,y,Chorilia longipes,longhorn decorator crab,NA,NA,Chorilia longipes,longhorn decorator crab,Arthropoda,Species,Chorilia longipes,Chorilia,Pisidae,Decapoda,Malacostraca,NA,Crustacea,Animalia,Chorilia longipes,TRUE,TRUE
n,y,y,Chromis enchrysura,yellowtail reeffish,3.4,0.45,Chromis enchrysurus,NA,Chordata,Species,Chromis enchrysura,Chromis,Pomacentridae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CHROMIS ECHRYSURUS,TRUE,TRUE
,,,,,NA,NA,Chrysaora,Seenessel,Cnidaria,Genus,NA,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,CHRYSAORA,FALSE,TRUE
,,,,,NA,NA,Chrysaora,Seenessel,Cnidaria,Genus,NA,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,Chrysaora fuscens,TRUE,TRUE
,,,,,NA,NA,Chrysaora,Seenessel,Cnidaria,Genus,NA,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,Chrysaora sp.,FALSE,TRUE
,,,,,NA,NA,Chrysaora,Seenessel,Cnidaria,Genus,NA,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,Chrysaora spp.,FALSE,TRUE
NA,NA,y,Chrysaora fuscescens,brown jellyfish,NA,NA,Chrysaora fuscescens,sea nettle,Cnidaria,Species,Chrysaora fuscescens,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,Chrysaora fuscescens,TRUE,TRUE
NA,NA,y,Chrysaora melanaster,NA,NA,NA,Chrysaora melanaster,Kompassqualle,Cnidaria,Species,Chrysaora melanaster,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,Chrysaora melanaster,TRUE,TRUE
n,y,y,Chrysaora quinquecirrha,sea nettle,4.09,0.5,Chrysaora quiquecirrha,sea nettle,Cnidaria,Species,Chrysaora quinquecirrha,Chrysaora,Pelagiidae,Semaeostomeae,Scyphozoa,NA,Medusozoa,Animalia,CHRYSAORA QUIQUECIRRHA,TRUE,TRUE
NA,NA,NA,Chrysogorgia agassizii,NA,NA,NA,Chrysogorgia agassizii,NA,Cnidaria,Species,Chrysogorgia agassizii,Chrysogorgia,Chrysogorgiidae,Alcyonacea,Anthozoa,NA,NA,Animalia,CHRYSOGORGIA AGASSIZII,TRUE,TRUE
NA,NA,NA,Chrysogorgia agassizii,NA,NA,NA,Chrysogorgia agassizii,NA,Cnidaria,Species,Chrysogorgia agassizii,Chrysogorgia,Chrysogorgiidae,Alcyonacea,Anthozoa,NA,NA,Animalia,CHRYSOGORGIA AGASSIZII (BOTTLEBRUSH CORAL),TRUE,TRUE
,,,,,NA,NA,Chrysopathes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chrysopathes spp.,FALSE,TRUE
NA,NA,NA,Chrysopathes speciosa,NA,NA,NA,Chrysopathes speciosa,NA,Cnidaria,Species,Chrysopathes speciosa,Chrysopathes,Cladopathidae,Antipatharia,Anthozoa,NA,NA,Animalia,Chrysopathes speciosa,TRUE,TRUE
,,,,,NA,NA,Cidaria,Gelber Rosen-Bindenspanner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIDARIA,FALSE,TRUE
,,,,,NA,NA,Cidaridae,piggsvinssj_borrar,Echinodermata,Family,NA,NA,Cidaridae,Cidaroida,Echinoidea,NA,Echinozoa,Animalia,CIDARIDAE,FALSE,TRUE
NA,NA,NA,Cidarina cidaris,NA,NA,NA,Cidarina cidaris,Adam's Spiny Margarite,Mollusca,Species,Cidarina cidaris,Cidarina,Trochidae,Archaeogastropoda,Gastropoda,NA,NA,Animalia,Cidarina cidaris,TRUE,TRUE
,,,,,NA,NA,Cidaris,Lanzenseeigel,Echinodermata,Genus,NA,Cidaris,Cidaridae,Cidaroida,Echinoidea,NA,Echinozoa,Animalia,CIDARIS,FALSE,TRUE
,,,,,NA,NA,Cioidae,striated argentine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UIOIDAE,FALSE,TRUE
NA,NA,NA,Circomphalus strigillinus,empress venus,NA,NA,Circomphallus strigillinus,NA,Mollusca,Species,Circomphalus strigillinus,Circomphalus,Veneridae,Veneroida,Bivalvia,NA,NA,Animalia,CIRCOMPHALUS STRIGILLIUS,TRUE,TRUE
,,,,,NA,NA,Cirrata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIRRATA,FALSE,TRUE
,,,,,NA,NA,Cirrhipathes,NA,Cnidaria,genus,NA,Cirrhipathes,Antipathidae,Antipatharia,Anthozoa,NA,NA,Metazoa,CIRRHIPATHES,FALSE,TRUE
,NA,NA,NA,NA,NA,NA,Cirrhipathes lutkeni,black sea whip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CIRRHIPATHES LEUTKEI,TRUE,TRUE
,,,,,NA,NA,Cirripedia,barnacles,Arthropoda,Infraclass,NA,NA,NA,NA,Maxillopoda,NA,Crustacea,Animalia,Cirripedia,FALSE,TRUE
,,,,,NA,NA,Cirripedia,barnacles,Arthropoda,Infraclass,NA,NA,NA,NA,Maxillopoda,NA,Crustacea,Animalia,CIRRIPEDIA,FALSE,TRUE
,,,,,NA,NA,Citharichthys,sanddabs,Chordata,Genus,NA,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CITHARICHTHYS,FALSE,TRUE
,,,,,NA,NA,Citharichthys,sanddabs,Chordata,Genus,NA,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,Citharichthys sp.,FALSE,TRUE
y,y,y,Citharichthys arctifrons,Gulf stream flounder,3.29,0.14,Citharichthys arctifrons,Gulf Stream flounder,Chordata,Species,Citharichthys arctifrons,Citharichthys,Paralichthyidae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Animalia,CITHARICHTHYS ARCTIFRONS,TRUE,TRUE
