"","Taxon","variable","value","Year"
"1267","Icelinus borealis","X1987",3,1987
"1268","Gymnocanthus sp.","X1987",2,1987
"1269","Gymnocanthus pistilliger","X1987",3,1987
"1270","Gymnocanthus tricuspis","X1987",3,1987
"1271","Gymnocanthus galeatus","X1987",3,1987
"1272","Gymnocanthus detrisus","X1987",3,1987
"1273","Radulinus asprellus","X1987",3,1987
"1274","Artediellus sp.","X1987",2,1987
"1275","Artediellus miacanthus","X1987",3,1987
"1276","Artediellus pacificus","X1987",2,1987
"1277","Artediellus scaber","X1987",3,1987
"1278","Malacocottus sp.","X1987",1,1987
"1279","Malacocottus kincaidi","X1987",3,1987
"1280","Malacocottus zonurus","X1987",1,1987
"1281","Hemilepidotus sp.","X1987",1,1987
"1282","Hemilepidotus gilberti","X1987",3,1987
"1283","Hemilepidotus spinosus","X1987",3,1987
"1284","Hemilepidotus zapus","X1987",3,1987
"1285","Hemilepidotus hemilepidotus","X1987",1,1987
"1286","Hemilepidotus jordani","X1987",1,1987
"1287","Hemilepidotus papilio","X1987",2,1987
"1288","Triglops sp.","X1987",1,1987
"1289","Triglops forficata","X1987",1,1987
"1290","Triglops metopias","X1987",3,1987
"1291","Triglops scepticus","X1987",2,1987
"1292","Triglops pingeli","X1987",2,1987
"1293","Triglops macellus","X1987",2,1987
"1294","Microcottus sellaris","X1987",3,1987
"1295","Myoxocephalus verrucosus","X1987",3,1987
"1296","Myoxocephalus polyacanthocephalus","X1987",3,1987
"1297","Myoxocephalus jaok","X1987",3,1987
"1298","Myoxocephalus stelleri","X1987",3,1987
"1299","Myoxocephalus sp.","X1987",1,1987
"1300","Myoxocephalus quadricornis","X1987",3,1987
"1301","Myoxocephalus scorpioides","X1987",3,1987
"1302","Megalocottus platycephalus","X1987",3,1987
"1303","Leptocottus armatus","X1987",3,1987
"1304","Enophrys sp.","X1987",1,1987
"1305","Enophrys lucasi","X1987",3,1987
"1306","Enophrys diceraus","X1987",1,1987
"1307","Dasycottus setiger","X1987",1,1987
"1308","Psychrolutes paradoxus","X1987",1,1987
"1309","Psychrolutes phrictus","X1987",3,1987
"1310","Blepsias bilobus","X1987",1,1987
"1311","Nautichthys pribilovius","X1987",1,1987
"1312","Nautichthys oculofasciatus","X1987",3,1987
"1313","Hemitripterus bolini","X1987",1,1987
"1314","Eurymen gyrinus","X1987",2,1987
"1315","Icelus spiniger","X1987",1,1987
"1316","Icelus canaliculatus","X1987",3,1987
"1317","Icelus euryops","X1987",3,1987
"1318","Icelus spatula","X1987",1,1987
"1319","Icelus sp.","X1987",1,1987
"1320","Trichodon trichodon","X1987",1,1987
"1321","Microgadus proximus","X1987",3,1987
"1322","Gadus macrocephalus","X1987",1,1987
"1323","Boreogadus saida","X1987",3,1987
"1324","Eleginus gracilis","X1987",1,1987
"1325","Theragra chalcogramma","X1987",1,1987
"1326","Gasterosteus aculeatus","X1987",1,1987
"1327","Pungitius pungitius","X1987",1,1987
"1328","Hexagrammidae","X1987",1,1987
"1329","Pleurogrammus monopterygius","X1987",1,1987
"1330","Hexagrammos sp.","X1987",1,1987
"1331","Hexagrammos octogrammus","X1987",3,1987
"1332","Hexagrammos stelleri","X1987",1,1987
"1333","Hexagrammos lagocephalus","X1987",3,1987
"1334","Hexagrammos decagrammus","X1987",2,1987
"1335","Icosteus aenigmaticus","X1987",1,1987
"1336","Cyclopterinae","X1987",1,1987
"1337","Aptocyclus ventricosus","X1987",1,1987
"1338","Eumicrotremus birulai","X1987",3,1987
"1339","Eumicrotremus orbis","X1987",1,1987
"1340","Eumicrotremus derjugini","X1987",3,1987
"1341","Eumicrotremus andriashevi","X1987",3,1987
"1342","Eumicrotremus sp.","X1987",3,1987
"1343","Cyclopteropsis phrynoides","X1987",3,1987
"1344","Liparidinae","X1987",1,1987
"1345","Crystallichthys cyclospilus","X1987",1,1987
"1346","Liparis sp.","X1987",1,1987
"1347","Liparis fucensis","X1987",3,1987
"1348","Liparis bristolense","X1987",3,1987
"1349","Liparis dennyi","X1987",3,1987
"1350","Liparis gibbus","X1987",1,1987
"1351","Liparis pulchellus","X1987",3,1987
"1352","Liparis ochotensis","X1987",3,1987
"1353","Liparis cyclopus","X1987",3,1987
"1354","Liparis rutteri","X1987",3,1987
"1355","Liparis tunicatus","X1987",3,1987
"1356","Elassodiscus sp.","X1987",3,1987
"1357","Careproctus sp.","X1987",1,1987
"1358","Careproctus melanurus","X1987",3,1987
"1359","Careproctus phasma","X1987",3,1987
"1360","Careproctus cypselurus","X1987",3,1987
"1361","Careproctus furcellus","X1987",3,1987
"1362","Careproctus scottae","X1987",3,1987
"1363","Careproctus gilberti","X1987",3,1987
"1364","Careproctus rastrinus","X1987",2,1987
"1365","Nectoliparis pelagicus","X1987",3,1987
"1366","Myctophidae","X1987",1,1987
"1367","Osmeridae","X1987",1,1987
"1368","Thaleichthys pacificus","X1987",1,1987
"1369","Mallotus villosus","X1987",1,1987
"1370","Osmerus mordax","X1987",1,1987
"1371","Salmonidae","X1987",1,1987
"1372","Oncorhynchus tshawytscha","X1987",1,1987
"1373","Oncorhynchus kisutch","X1987",1,1987
"1374","Oncorhynchus gorbuscha","X1987",1,1987
"1375","Oncorhynchus keta","X1987",1,1987
"1376","Oncorhynchus nerka","X1987",1,1987
"1377","Onchorynchus mykiss","X1987",1,1987
"1378","Salvelinus malma","X1987",1,1987
"1379","Lyconectes aleutensis","X1987",1,1987
"1380","Cryptacanthodes giganteus","X1987",1,1987
"1381","Stichaeidae","X1987",1,1987
"1382","Eumesogrammus praecisus","X1987",1,1987
"1383","Stichaeus punctatus","X1987",3,1987
"1384","Lumpenus sp.","X1987",2,1987
"1385","Lumpenus maculatus","X1987",3,1987
"1386","Lumpenus medius","X1987",3,1987
"1387","Lumpenus fabricii","X1987",3,1987
"1388","Lumpenus sagitta","X1987",3,1987
"1389","Acantholumpenus mackayi","X1987",3,1987
"1390","Lumpenella longirostris","X1987",3,1987
"1391","Chirolophis sp.","X1987",3,1987
"1392","Chirolophis decoratus","X1987",3,1987
"1393","Chirolophis snyderi","X1987",3,1987
"1394","Poroclinus rothrocki","X1987",3,1987
"1395","Pholidae","X1987",3,1987
"1396","Zaprora silenus","X1987",1,1987
"1397","Zoarcidae","X1987",1,1987
"1398","Lycodes sp.","X1987",1,1987
"1399","Lycodes raridens","X1987",1,1987
"1400","Lycodes palearis","X1987",1,1987
"1401","Lycodes mucosus","X1987",3,1987
"1402","Lycodes polaris","X1987",3,1987
"1403","Lycodes turneri","X1987",3,1987
"1404","Lycodes brevipes","X1987",1,1987
"1405","Gymnelus viridis","X1987",3,1987
"1406","roundfish unident.","X1987",1,1987
"1407","Sebastes sp.","X1987",1,1987
"1408","Sebastes aleutianus","X1987",3,1987
"1409","Sebastes melanostictus","X1987",3,1987
"1410","Sebastes alutus","X1987",1,1987
"1411","dusky and dark rockfishes unid","X1987",1,1987
"1412","Sebastes variabilis","X1987",1,1987
"1413","Sebastes crameri","X1987",3,1987
"1414","Sebastes flavidus","X1987",3,1987
"1415","Sebastes polyspinis","X1987",1,1987
"1416","Sebastes variegatus","X1987",1,1987
"1417","fish eggs unident.","X1988",1,1988
"1418","fish larvae unident.","X1988",1,1988
"1419","fish unident.","X1988",1,1988
"1420","Petromyzontidae","X1988",1,1988
"1421","Lampetra tridentata","X1988",2,1988
"1422","Lamna ditropis","X1988",1,1988
"1423","Squalus acanthias","X1988",1,1988
"1424","Somniosus pacificus","X1988",1,1988
"1425","Rajidae unident.","X1988",1,1988
"1426","skate egg case unident.","X1988",1,1988
"1427","Bathyraja sp. egg case","X1988",1,1988
"1428","Raja sp.","X1988",3,1988
"1429","Raja binoculata","X1988",2,1988
"1430","Raja rhina","X1988",3,1988
"1431","Raja stellulata","X1988",3,1988
"1432","Bathyraja sp.","X1988",2,1988
"1433","Bathyraja abyssicola","X1988",3,1988
"1434","Bathyraja interrupta","X1988",3,1988
"1435","Bathyraja interrupta
egg case","X1988",3,1988
"1436","Bathyraja taranetzi","X1988",3,1988
"1437","Bathyraja parmifera","X1988",3,1988
"1438","Bathyraja aleutica","X1988",3,1988
"1439","Bathyraja parmifera
egg case","X1988",3,1988
"1440","Bathyraja maculata","X1988",3,1988
"1441","Bathyraja smirnovi","X1988",3,1988
"1442","Bathyraja violacea","X1988",3,1988
"1443","Pleuronectiformes","X1988",1,1988
"1444","Citharichthys sp.","X1988",3,1988
"1445","Citharichthys sordidus","X1988",3,1988
"1446","Atheresthes stomias","X1988",3,1988
"1447","Atheresthes sp.","X1988",1,1988
"1448","Atheresthes evermanni","X1988",3,1988
"1449","Reinhardtius hippoglossoides","X1988",1,1988
"1450","Hippoglossus stenolepis","X1988",1,1988
"1451","Hippoglossoides sp.","X1988",1,1988
"1452","Hippoglossoides elassodon","X1988",2,1988
"1453","Hippoglossoides robustus","X1988",2,1988
"1454","Lyopsetta exilis","X1988",3,1988
"1455","Lyopsetta glacialis","X1988",3,1988
"1456","Parophrys vetulus","X1988",3,1988
"1457","Microstomus pacificus","X1988",1,1988
"1458","Glyptocephalus zachirus","X1988",1,1988
"1459","Limanda aspera","X1988",1,1988
"1460","Limanda proboscidea","X1988",1,1988
"1461","Limanda sakhalinensis","X1988",1,1988
"1462","Platichthys stellatus","X1988",1,1988
"1463","Platichthys stellatus X Pleuronectes quadrituberculatus.","X1988",1,1988
"1464","Psettichthys melanostictus","X1988",3,1988
"1465","Lepidopsetta sp.","X1988",1,1988
"1466","Lepidopsetta polyxystra","X1988",3,1988
"1467","Lepidopsetta bilineata","X1988",3,1988
"1468","Isopsetta isolepis","X1988",3,1988
"1469","Pleuronectes quadrituberculatus","X1988",1,1988
"1470","Pleuronichthys sp.","X1988",3,1988
"1471","Agonidae","X1988",1,1988
"1472","Pallasina barbata","X1988",1,1988
"1473","Percis japonicus","X1988",1,1988
"1474","Leptagonus sp.","X1988",2,1988
"1475","Leptagonus leptorhynchus","X1988",2,1988
"1476","Leptagonus frenatus","X1988",2,1988
"1477","Agonopsis vulsa","X1988",3,1988
"1478","Odontopyxis trispinosa","X1988",3,1988
"1479","Bathyagonus sp.","X1988",2,1988
"1480","Bathyagonus alascanus","X1988",2,1988
"1481","Bathyagonus infraspinatus","X1988",3,1988
"1482","Bathyagonus pentacanthus","X1988",3,1988
"1483","Bathyagonus nigripinnis","X1988",3,1988
"1484","Podothecus accipenserinus","X1988",1,1988
"1485","Podothecus veternus","X1988",3,1988
"1486","Aspidophoroides bartoni","X1988",1,1988
"1487","Aspidophoroides olriki","X1988",2,1988
"1488","Anoplagonus inermis","X1988",3,1988
"1489","Chesnonia verrucosa","X1988",3,1988
"1490","Occella dodecaedron","X1988",1,1988
"1491","Hypsagonus quadricornis","X1988",1,1988
"1492","Ammodytes hexapterus","X1988",1,1988
"1493","Anarrhichthys ocellatus","X1988",3,1988
"1494","Anarhichas orientalis","X1988",1,1988
"1495","Anoplopoma fimbria","X1988",1,1988
"1496","Aulorhynchus flavidus","X1988",3,1988
"1497","Bathymasteridae","X1988",2,1988
"1498","Ronquilus jordani","X1988",3,1988
"1499","Bathymaster signatus","X1988",1,1988
"1500","Clupea pallasi","X1988",1,1988
"1501","Alosa sapidissima","X1988",3,1988
"1502","Cottidae","X1988",1,1988
"1503","Icelinus borealis","X1988",3,1988
"1504","Gymnocanthus sp.","X1988",2,1988
"1505","Gymnocanthus pistilliger","X1988",3,1988
"1506","Gymnocanthus tricuspis","X1988",3,1988
"1507","Gymnocanthus galeatus","X1988",3,1988
"1508","Gymnocanthus detrisus","X1988",3,1988
"1509","Radulinus asprellus","X1988",3,1988
"1510","Artediellus sp.","X1988",2,1988
"1511","Artediellus miacanthus","X1988",3,1988
"1512","Artediellus pacificus","X1988",2,1988
"1513","Artediellus scaber","X1988",3,1988
"1514","Malacocottus sp.","X1988",1,1988
"1515","Malacocottus kincaidi","X1988",3,1988
"1516","Malacocottus zonurus","X1988",1,1988
"1517","Hemilepidotus sp.","X1988",1,1988
"1518","Hemilepidotus gilberti","X1988",3,1988
"1519","Hemilepidotus spinosus","X1988",3,1988
"1520","Hemilepidotus zapus","X1988",3,1988
"1521","Hemilepidotus hemilepidotus","X1988",1,1988
"1522","Hemilepidotus jordani","X1988",1,1988
"1523","Hemilepidotus papilio","X1988",2,1988
"1524","Triglops sp.","X1988",1,1988
"1525","Triglops forficata","X1988",1,1988
"1526","Triglops metopias","X1988",3,1988
"1527","Triglops scepticus","X1988",2,1988
"1528","Triglops pingeli","X1988",2,1988
"1529","Triglops macellus","X1988",2,1988
"1530","Microcottus sellaris","X1988",3,1988
"1531","Myoxocephalus verrucosus","X1988",3,1988
"1532","Myoxocephalus polyacanthocephalus","X1988",3,1988
"1533","Myoxocephalus jaok","X1988",3,1988
"1534","Myoxocephalus stelleri","X1988",3,1988
"1535","Myoxocephalus sp.","X1988",1,1988
"1536","Myoxocephalus quadricornis","X1988",3,1988
"1537","Myoxocephalus scorpioides","X1988",3,1988
"1538","Megalocottus platycephalus","X1988",3,1988
"1539","Leptocottus armatus","X1988",3,1988
"1540","Enophrys sp.","X1988",1,1988
"1541","Enophrys lucasi","X1988",3,1988
"1542","Enophrys diceraus","X1988",1,1988
"1543","Dasycottus setiger","X1988",1,1988
"1544","Psychrolutes paradoxus","X1988",1,1988
"1545","Psychrolutes phrictus","X1988",3,1988
"1546","Blepsias bilobus","X1988",1,1988
"1547","Nautichthys pribilovius","X1988",1,1988
"1548","Nautichthys oculofasciatus","X1988",3,1988
"1549","Hemitripterus bolini","X1988",1,1988
"1550","Eurymen gyrinus","X1988",2,1988
"1551","Icelus spiniger","X1988",1,1988
"1552","Icelus canaliculatus","X1988",3,1988
"1553","Icelus euryops","X1988",3,1988
"1554","Icelus spatula","X1988",1,1988
"1555","Icelus sp.","X1988",1,1988
"1556","Trichodon trichodon","X1988",1,1988
"1557","Microgadus proximus","X1988",3,1988
"1558","Gadus macrocephalus","X1988",1,1988
"1559","Boreogadus saida","X1988",3,1988
"1560","Eleginus gracilis","X1988",1,1988
"1561","Theragra chalcogramma","X1988",1,1988
"1562","Gasterosteus aculeatus","X1988",1,1988
"1563","Pungitius pungitius","X1988",1,1988
"1564","Hexagrammidae","X1988",1,1988
"1565","Pleurogrammus monopterygius","X1988",1,1988
"1566","Hexagrammos sp.","X1988",1,1988
"1567","Hexagrammos octogrammus","X1988",3,1988
"1568","Hexagrammos stelleri","X1988",1,1988
"1569","Hexagrammos lagocephalus","X1988",3,1988
"1570","Hexagrammos decagrammus","X1988",2,1988
"1571","Icosteus aenigmaticus","X1988",1,1988
"1572","Cyclopterinae","X1988",1,1988
"1573","Aptocyclus ventricosus","X1988",1,1988
"1574","Eumicrotremus birulai","X1988",3,1988
"1575","Eumicrotremus orbis","X1988",1,1988
"1576","Eumicrotremus derjugini","X1988",3,1988
"1577","Eumicrotremus andriashevi","X1988",3,1988
"1578","Eumicrotremus sp.","X1988",3,1988
"1579","Cyclopteropsis phrynoides","X1988",3,1988
"1580","Liparidinae","X1988",1,1988
"1581","Crystallichthys cyclospilus","X1988",1,1988
"1582","Liparis sp.","X1988",1,1988
"1583","Liparis fucensis","X1988",3,1988
"1584","Liparis bristolense","X1988",3,1988
"1585","Liparis dennyi","X1988",3,1988
"1586","Liparis gibbus","X1988",1,1988
"1587","Liparis pulchellus","X1988",3,1988
"1588","Liparis ochotensis","X1988",3,1988
"1589","Liparis cyclopus","X1988",3,1988
"1590","Liparis rutteri","X1988",3,1988
"1591","Liparis tunicatus","X1988",3,1988
"1592","Elassodiscus sp.","X1988",3,1988
"1593","Careproctus sp.","X1988",1,1988
"1594","Careproctus melanurus","X1988",3,1988
"1595","Careproctus phasma","X1988",3,1988
"1596","Careproctus cypselurus","X1988",3,1988
"1597","Careproctus furcellus","X1988",3,1988
"1598","Careproctus scottae","X1988",3,1988
"1599","Careproctus gilberti","X1988",3,1988
"1600","Careproctus rastrinus","X1988",2,1988
"1601","Nectoliparis pelagicus","X1988",3,1988
"1602","Myctophidae","X1988",1,1988
"1603","Osmeridae","X1988",1,1988
"1604","Thaleichthys pacificus","X1988",1,1988
"1605","Mallotus villosus","X1988",1,1988
"1606","Osmerus mordax","X1988",1,1988
"1607","Salmonidae","X1988",1,1988
"1608","Oncorhynchus tshawytscha","X1988",1,1988
"1609","Oncorhynchus kisutch","X1988",1,1988
"1610","Oncorhynchus gorbuscha","X1988",1,1988
"1611","Oncorhynchus keta","X1988",1,1988
"1612","Oncorhynchus nerka","X1988",1,1988
"1613","Onchorynchus mykiss","X1988",1,1988
"1614","Salvelinus malma","X1988",1,1988
"1615","Lyconectes aleutensis","X1988",1,1988
"1616","Cryptacanthodes giganteus","X1988",1,1988
"1617","Stichaeidae","X1988",1,1988
"1618","Eumesogrammus praecisus","X1988",1,1988
"1619","Stichaeus punctatus","X1988",3,1988
"1620","Lumpenus sp.","X1988",2,1988
"1621","Lumpenus maculatus","X1988",3,1988
"1622","Lumpenus medius","X1988",3,1988
"1623","Lumpenus fabricii","X1988",3,1988
"1624","Lumpenus sagitta","X1988",3,1988
"1625","Acantholumpenus mackayi","X1988",3,1988
"1626","Lumpenella longirostris","X1988",3,1988
"1627","Chirolophis sp.","X1988",3,1988
"1628","Chirolophis decoratus","X1988",3,1988
"1629","Chirolophis snyderi","X1988",3,1988
"1630","Poroclinus rothrocki","X1988",3,1988
"1631","Pholidae","X1988",3,1988
"1632","Zaprora silenus","X1988",1,1988
"1633","Zoarcidae","X1988",1,1988
"1634","Lycodes sp.","X1988",1,1988
"1635","Lycodes raridens","X1988",1,1988
"1636","Lycodes palearis","X1988",1,1988
"1637","Lycodes mucosus","X1988",3,1988
"1638","Lycodes polaris","X1988",3,1988
"1639","Lycodes turneri","X1988",3,1988
"1640","Lycodes brevipes","X1988",1,1988
"1641","Gymnelus viridis","X1988",3,1988
"1642","roundfish unident.","X1988",1,1988
"1643","Sebastes sp.","X1988",1,1988
"1644","Sebastes aleutianus","X1988",3,1988
"1645","Sebastes melanostictus","X1988",3,1988
"1646","Sebastes alutus","X1988",1,1988
"1647","dusky and dark rockfishes unid","X1988",1,1988
"1648","Sebastes variabilis","X1988",1,1988
"1649","Sebastes crameri","X1988",3,1988
"1650","Sebastes flavidus","X1988",3,1988
"1651","Sebastes polyspinis","X1988",1,1988
"1652","Sebastes variegatus","X1988",1,1988
"1653","fish eggs unident.","X1989",1,1989
"1654","fish larvae unident.","X1989",1,1989
"1655","fish unident.","X1989",1,1989
"1656","Petromyzontidae","X1989",1,1989
"1657","Lampetra tridentata","X1989",2,1989
"1658","Lamna ditropis","X1989",1,1989
"1659","Squalus acanthias","X1989",1,1989
"1660","Somniosus pacificus","X1989",1,1989
"1661","Rajidae unident.","X1989",1,1989
"1662","skate egg case unident.","X1989",1,1989
"1663","Bathyraja sp. egg case","X1989",1,1989
"1664","Raja sp.","X1989",3,1989
"1665","Raja binoculata","X1989",2,1989
"1666","Raja rhina","X1989",3,1989
"1667","Raja stellulata","X1989",3,1989
"1668","Bathyraja sp.","X1989",2,1989
"1669","Bathyraja abyssicola","X1989",3,1989
"1670","Bathyraja interrupta","X1989",3,1989
"1671","Bathyraja interrupta
egg case","X1989",3,1989
"1672","Bathyraja taranetzi","X1989",3,1989
"1673","Bathyraja parmifera","X1989",3,1989
"1674","Bathyraja aleutica","X1989",3,1989
"1675","Bathyraja parmifera
egg case","X1989",3,1989
"1676","Bathyraja maculata","X1989",3,1989
"1677","Bathyraja smirnovi","X1989",3,1989
"1678","Bathyraja violacea","X1989",3,1989
"1679","Pleuronectiformes","X1989",1,1989
"1680","Citharichthys sp.","X1989",3,1989
"1681","Citharichthys sordidus","X1989",3,1989
"1682","Atheresthes stomias","X1989",3,1989
"1683","Atheresthes sp.","X1989",1,1989
"1684","Atheresthes evermanni","X1989",3,1989
"1685","Reinhardtius hippoglossoides","X1989",1,1989
"1686","Hippoglossus stenolepis","X1989",1,1989
"1687","Hippoglossoides sp.","X1989",1,1989
"1688","Hippoglossoides elassodon","X1989",2,1989
"1689","Hippoglossoides robustus","X1989",2,1989
"1690","Lyopsetta exilis","X1989",3,1989
"1691","Lyopsetta glacialis","X1989",3,1989
"1692","Parophrys vetulus","X1989",3,1989
"1693","Microstomus pacificus","X1989",1,1989
"1694","Glyptocephalus zachirus","X1989",1,1989
"1695","Limanda aspera","X1989",1,1989
"1696","Limanda proboscidea","X1989",1,1989
"1697","Limanda sakhalinensis","X1989",1,1989
"1698","Platichthys stellatus","X1989",1,1989
"1699","Platichthys stellatus X Pleuronectes quadrituberculatus.","X1989",1,1989
"1700","Psettichthys melanostictus","X1989",3,1989
"1701","Lepidopsetta sp.","X1989",1,1989
"1702","Lepidopsetta polyxystra","X1989",3,1989
"1703","Lepidopsetta bilineata","X1989",3,1989
"1704","Isopsetta isolepis","X1989",3,1989
"1705","Pleuronectes quadrituberculatus","X1989",1,1989
"1706","Pleuronichthys sp.","X1989",3,1989
"1707","Agonidae","X1989",1,1989
"1708","Pallasina barbata","X1989",1,1989
"1709","Percis japonicus","X1989",1,1989
"1710","Leptagonus sp.","X1989",2,1989
"1711","Leptagonus leptorhynchus","X1989",2,1989
"1712","Leptagonus frenatus","X1989",2,1989
"1713","Agonopsis vulsa","X1989",3,1989
"1714","Odontopyxis trispinosa","X1989",3,1989
"1715","Bathyagonus sp.","X1989",2,1989
"1716","Bathyagonus alascanus","X1989",2,1989
"1717","Bathyagonus infraspinatus","X1989",3,1989
"1718","Bathyagonus pentacanthus","X1989",3,1989
"1719","Bathyagonus nigripinnis","X1989",3,1989
"1720","Podothecus accipenserinus","X1989",1,1989
"1721","Podothecus veternus","X1989",3,1989
"1722","Aspidophoroides bartoni","X1989",1,1989
"1723","Aspidophoroides olriki","X1989",2,1989
"1724","Anoplagonus inermis","X1989",3,1989
"1725","Chesnonia verrucosa","X1989",3,1989
"1726","Occella dodecaedron","X1989",1,1989
"1727","Hypsagonus quadricornis","X1989",1,1989
"1728","Ammodytes hexapterus","X1989",1,1989
"1729","Anarrhichthys ocellatus","X1989",3,1989
"1730","Anarhichas orientalis","X1989",1,1989
"1731","Anoplopoma fimbria","X1989",1,1989
"1732","Aulorhynchus flavidus","X1989",3,1989
"1733","Bathymasteridae","X1989",2,1989
"1734","Ronquilus jordani","X1989",3,1989
"1735","Bathymaster signatus","X1989",1,1989
"1736","Clupea pallasi","X1989",1,1989
"1737","Alosa sapidissima","X1989",3,1989
"1738","Cottidae","X1989",1,1989
"1739","Icelinus borealis","X1989",3,1989
"1740","Gymnocanthus sp.","X1989",2,1989
"1741","Gymnocanthus pistilliger","X1989",3,1989
"1742","Gymnocanthus tricuspis","X1989",3,1989
"1743","Gymnocanthus galeatus","X1989",3,1989
"1744","Gymnocanthus detrisus","X1989",3,1989
"1745","Radulinus asprellus","X1989",3,1989
"1746","Artediellus sp.","X1989",2,1989
"1747","Artediellus miacanthus","X1989",3,1989
"1748","Artediellus pacificus","X1989",2,1989
"1749","Artediellus scaber","X1989",3,1989
"1750","Malacocottus sp.","X1989",1,1989
"1751","Malacocottus kincaidi","X1989",3,1989
"1752","Malacocottus zonurus","X1989",1,1989
"1753","Hemilepidotus sp.","X1989",1,1989
"1754","Hemilepidotus gilberti","X1989",3,1989
"1755","Hemilepidotus spinosus","X1989",3,1989
"1756","Hemilepidotus zapus","X1989",3,1989
"1757","Hemilepidotus hemilepidotus","X1989",1,1989
"1758","Hemilepidotus jordani","X1989",1,1989
"1759","Hemilepidotus papilio","X1989",2,1989
"1760","Triglops sp.","X1989",1,1989
"1761","Triglops forficata","X1989",1,1989
"1762","Triglops metopias","X1989",3,1989
"1763","Triglops scepticus","X1989",2,1989
"1764","Triglops pingeli","X1989",2,1989
"1765","Triglops macellus","X1989",2,1989
"1766","Microcottus sellaris","X1989",3,1989
"1767","Myoxocephalus verrucosus","X1989",3,1989
"1768","Myoxocephalus polyacanthocephalus","X1989",3,1989
"1769","Myoxocephalus jaok","X1989",3,1989
"1770","Myoxocephalus stelleri","X1989",3,1989
"1771","Myoxocephalus sp.","X1989",1,1989
"1772","Myoxocephalus quadricornis","X1989",3,1989
"1773","Myoxocephalus scorpioides","X1989",3,1989
"1774","Megalocottus platycephalus","X1989",3,1989
"1775","Leptocottus armatus","X1989",3,1989
"1776","Enophrys sp.","X1989",1,1989
"1777","Enophrys lucasi","X1989",3,1989
"1778","Enophrys diceraus","X1989",1,1989
"1779","Dasycottus setiger","X1989",1,1989
"1780","Psychrolutes paradoxus","X1989",1,1989
"1781","Psychrolutes phrictus","X1989",3,1989
"1782","Blepsias bilobus","X1989",1,1989
"1783","Nautichthys pribilovius","X1989",1,1989
"1784","Nautichthys oculofasciatus","X1989",3,1989
"1785","Hemitripterus bolini","X1989",1,1989
"1786","Eurymen gyrinus","X1989",2,1989
"1787","Icelus spiniger","X1989",1,1989
"1788","Icelus canaliculatus","X1989",3,1989
"1789","Icelus euryops","X1989",3,1989
"1790","Icelus spatula","X1989",1,1989
"1791","Icelus sp.","X1989",1,1989
"1792","Trichodon trichodon","X1989",1,1989
"1793","Microgadus proximus","X1989",3,1989
"1794","Gadus macrocephalus","X1989",1,1989
"1795","Boreogadus saida","X1989",3,1989
"1796","Eleginus gracilis","X1989",1,1989
"1797","Theragra chalcogramma","X1989",1,1989
"1798","Gasterosteus aculeatus","X1989",1,1989
"1799","Pungitius pungitius","X1989",1,1989
"1800","Hexagrammidae","X1989",1,1989
"1801","Pleurogrammus monopterygius","X1989",1,1989
"1802","Hexagrammos sp.","X1989",1,1989
"1803","Hexagrammos octogrammus","X1989",3,1989
"1804","Hexagrammos stelleri","X1989",1,1989
"1805","Hexagrammos lagocephalus","X1989",3,1989
"1806","Hexagrammos decagrammus","X1989",2,1989
"1807","Icosteus aenigmaticus","X1989",1,1989
"1808","Cyclopterinae","X1989",1,1989
"1809","Aptocyclus ventricosus","X1989",1,1989
"1810","Eumicrotremus birulai","X1989",3,1989
"1811","Eumicrotremus orbis","X1989",1,1989
"1812","Eumicrotremus derjugini","X1989",3,1989
"1813","Eumicrotremus andriashevi","X1989",3,1989
"1814","Eumicrotremus sp.","X1989",3,1989
"1815","Cyclopteropsis phrynoides","X1989",3,1989
"1816","Liparidinae","X1989",1,1989
"1817","Crystallichthys cyclospilus","X1989",1,1989
"1818","Liparis sp.","X1989",1,1989
"1819","Liparis fucensis","X1989",3,1989
"1820","Liparis bristolense","X1989",3,1989
"1821","Liparis dennyi","X1989",3,1989
"1822","Liparis gibbus","X1989",1,1989
"1823","Liparis pulchellus","X1989",3,1989
"1824","Liparis ochotensis","X1989",3,1989
"1825","Liparis cyclopus","X1989",3,1989
"1826","Liparis rutteri","X1989",3,1989
"1827","Liparis tunicatus","X1989",3,1989
"1828","Elassodiscus sp.","X1989",3,1989
"1829","Careproctus sp.","X1989",1,1989
"1830","Careproctus melanurus","X1989",3,1989
"1831","Careproctus phasma","X1989",3,1989
"1832","Careproctus cypselurus","X1989",3,1989
"1833","Careproctus furcellus","X1989",3,1989
"1834","Careproctus scottae","X1989",3,1989
"1835","Careproctus gilberti","X1989",3,1989
"1836","Careproctus rastrinus","X1989",2,1989
"1837","Nectoliparis pelagicus","X1989",3,1989
"1838","Myctophidae","X1989",1,1989
"1839","Osmeridae","X1989",1,1989
"1840","Thaleichthys pacificus","X1989",1,1989
"1841","Mallotus villosus","X1989",1,1989
"1842","Osmerus mordax","X1989",1,1989
"1843","Salmonidae","X1989",1,1989
"1844","Oncorhynchus tshawytscha","X1989",1,1989
"1845","Oncorhynchus kisutch","X1989",1,1989
"1846","Oncorhynchus gorbuscha","X1989",1,1989
"1847","Oncorhynchus keta","X1989",1,1989
"1848","Oncorhynchus nerka","X1989",1,1989
"1849","Onchorynchus mykiss","X1989",1,1989
"1850","Salvelinus malma","X1989",1,1989
