"","Taxon","variable","value","Year"
"1522","Leptasterias coei","X1984",3,1984
"1523","Pycnopodia helianthoides","X1984",1,1984
"1524","Lethasterias nanimensis","X1984",1,1984
"1525","Pedicellaster magister","X1984",3,1984
"1526","Henricia sp.","X1984",1,1984
"1527","Henricia sanguinolenta","X1984",3,1984
"1528","Henricia leviuscula","X1984",3,1984
"1529","Henricia tumida","X1984",3,1984
"1530","Odontohenricia
sp.","X1984",3,1984
"1531","Leptasterias polaris","X1984",1,1984
"1532","Leptasterias arctica","X1984",1,1984
"1533","Leptasterias sp.","X1984",1,1984
"1534","Henricia beringiana","X1984",3,1984
"1535","Gephyreaster swifti","X1984",1,1984
"1536","Pseudarchaster
sp.","X1984",1,1984
"1537","Pseudarchaster alascensis","X1984",3,1984
"1538","Pseudarchaster parelii","X1984",3,1984
"1539","Hippasteria spinosa","X1984",3,1984
"1540","Ceramaster sp.","X1984",1,1984
"1541","Ceramaster japonicus","X1984",3,1984
"1542","Ceramaster patagonicus","X1984",3,1984
"1543","Dermasterias imbricata","X1984",3,1984
"1544","Solaster sp.","X1984",1,1984
"1545","Solaster endeca","X1984",3,1984
"1546","Solaster dawsoni","X1984",3,1984
"1547","Solaster paxillatus","X1984",3,1984
"1548","Crossaster sp.","X1984",1,1984
"1549","Crossaster borealis","X1984",1,1984
"1550","Crossaster papposus","X1984",1,1984
"1551","Pteraster sp.","X1984",1,1984
"1552","Pteraster tesselatus","X1984",3,1984
"1553","Pteraster militaris","X1984",3,1984
"1554","Pteraster obscurus","X1984",1,1984
"1555","Diplopteraster multipes","X1984",1,1984
"1556","Diplopteraster sp.","X1984",1,1984
"1557","Asterias sp.","X1984",1,1984
"1558","Asterias amurensis","X1984",1,1984
"1559","Ctenodiscus sp.","X1984",3,1984
"1560","Ctenodiscus crispatus","X1984",3,1984
"1561","Leptychaster sp.","X1984",3,1984
"1562","Leptychaster anomalus","X1984",3,1984
"1563","Leptychaster pacificus","X1984",3,1984
"1564","Leptychaster arcticus","X1984",3,1984
"1565","Dipsacaster sp.","X1984",1,1984
"1566","Dipsacaster borealis","X1984",1,1984
"1567","Cheiraster (=Luidiaster) dawsoni","X1984",1,1984
"1568","Echinacea unident.","X1984",1,1984
"1569","Strongylocentrotus droebachiensis","X1984",3,1984
"1570","Strongylocentrotus
sp.","X1984",2,1984
"1571","Strongylocentrotus franciscanus","X1984",3,1984
"1572","Strongylocentrotus polyacanthus","X1984",3,1984
"1573","Strongylocentrotus pallidus","X1984",3,1984
"1574","Allocentrotus fragilis","X1984",2,1984
"1575","Allocentrotus sp.","X1984",2,1984
"1576","sand dollar unident.","X1984",1,1984
"1577","Echinarachnius parma","X1984",1,1984
"1578","Ophiuroid unident.","X1984",1,1984
"1579","Gorgonocephalus eucnemis","X1984",1,1984
"1580","Asteronyx loveni","X1984",1,1984
"1581","Ophiura sp.","X1984",3,1984
"1582","Ophiura sarsi","X1984",3,1984
"1583","Amphiophiura nodosa","X1984",3,1984
"1584","Ophiacantha sp.","X1984",3,1984
"1585","Ophiopholis sp.","X1984",3,1984
"1586","Ophiopholis aculeata","X1984",3,1984
"1587","Ophiolebes sp.","X1984",3,1984
"1588","Holothuroidea unident.","X1984",1,1984
"1589","Molpadia sp.","X1984",1,1984
"1590","Molpadia intermedia","X1984",2,1984
"1591","Pentamera lissoplaca","X1984",3,1984
"1592","Pentamera sp.","X1984",3,1984
"1593","Bathyplotes sp.","X1984",3,1984
"1594","Cucumaria sp.","X1984",1,1984
"1595","Cucumaria fallax","X1984",1,1984
"1596","Cucumaria frondosa","X1984",3,1984
"1597","Psolus sp.","X1984",1,1984
"1598","Psolus fabricii","X1984",3,1984
"1599","Psolus squamatus","X1984",3,1984
"1600","Synallactes challengeri","X1984",3,1984
"1601","Foraminifera","X1984",3,1984
"1602","Porifera","X1984",1,1984
"1603","vase sponge unident.","X1984",3,1984
"1604","Suberites sp.","X1984",1,1984
"1605","Suberites ficus","X1984",3,1984
"1606","Aphrocallistes vastus","X1984",3,1984
"1607","Mycale loveni","X1984",1,1984
"1608","Halichondria panicea","X1984",3,1984
"1609","Phakellia cribrosa","X1984",3,1984
"1610","scapula sponge","X1984",3,1984
"1611","Myxilla incrustans","X1984",3,1984
"1612","Leucosolenia blanca","X1984",3,1984
"1613","Tethya sp.","X1984",3,1984
"1614","stone sponge","X1984",3,1984
"1615","Polymastia fluegeli","X1984",3,1984
"1616","Latrunculia sp. A (Clark 2006)","X1984",3,1984
"1617","Hexactinellida","X1984",3,1984
"1618","Platyhelminthes","X1984",3,1984
"1619","Polycladida","X1984",3,1984
"1620","Nemertea","X1984",3,1984
"1621","Priapula","X1984",3,1984
"1622","Nematoda","X1984",3,1984
"1623","Sipuncula","X1984",2,1984
"1624","Echiura","X1984",3,1984
"1625","Phoronida","X1984",3,1984
"1626","Bryozoa unident.","X1984",2,1984
"1627","Leieschara orientalis","X1984",3,1984
"1628","bryozoan sp. A unident.","X1984",3,1984
"1629","Bugula californica","X1984",3,1984
"1630","Eucratea loricata","X1984",3,1984
"1631","Flustra serrulata","X1984",3,1984
"1632","Flustrellidra corniculata","X1984",3,1984
"1633","Alcyonidium pedunculatum","X1984",3,1984
"1634","Porella compressa","X1984",3,1984
"1635","Escharopsis sarsi","X1984",3,1984
"1636","Rhamphostomella costata","X1984",2,1984
"1637","Cellepora ventricosa","X1984",3,1984
"1638","Dendrobeania sp.","X1984",3,1984
"1639","brachiopod unident.","X1984",1,1984
"1640","Hemithyridae","X1984",3,1984
"1641","Laqueus californianus","X1984",3,1984
"1642","Ascidian unident.","X1984",1,1984
"1643","Ascidian n. sp. A","X1984",3,1984
"1644","Ascidian n. sp. B","X1984",3,1984
"1645","Thaliacea unident.","X1984",2,1984
"1646","Styela sp.","X1984",1,1984
"1647","Styela rustica","X1984",1,1984
"1648","Boltenia sp.","X1984",1,1984
"1649","Boltenia ovifera","X1984",1,1984
"1650","Halocynthia sp.","X1984",1,1984
"1651","Halocynthia aurantium","X1984",1,1984
"1652","Aplidium californicum","X1984",3,1984
"1653","compound ascidian unident.","X1984",1,1984
"1654","Amaroucium soldatovi","X1984",3,1984
"1655","Chelyosoma orientale","X1984",3,1984
"1656","Aplidium sp.","X1984",1,1984
"1657","Aplidium n. sp. a","X1984",3,1984
"1658","Synoicum sp.","X1984",3,1984
"1659","Molgula sp.","X1984",3,1984
"1660","Molgula grifithsii","X1984",3,1984
"1661","Molgula retortiformis","X1984",3,1984
"1662","invertebrate unident.","X1984",1,1984
"1663","invert. eggs unident.","X1984",1,1984
"1664","empty bivalve shells","X1984",1,1984
"1665","empty gastropod shells","X1984",1,1984
"1666","unsorted debris","X1984",1,1984
"1667","Polychaete tubes","X1984",1,1984
"1668","unsorted shab","X1984",1,1984
"1669","Hydrozoa","X1985",1,1985
"1670","hydroid unident.","X1985",2,1985
"1671","Hydroid sp. A","X1985",3,1985
"1672","Hydractinia sp.","X1985",3,1985
"1673","Sertularia robusta","X1985",3,1985
"1674","Scyphozoa","X1985",1,1985
"1675","Chrysaora sp.","X1985",1,1985
"1676","Chrysaora melanaster","X1985",1,1985
"1677","Phacellophora camtschatica","X1985",1,1985
"1678","Aequorea sp.","X1985",3,1985
"1679","Phacellophora sp.","X1985",1,1985
"1680","Aurelia sp.","X1985",1,1985
"1681","Aurelia labiata","X1985",3,1985
"1682","Cyanea sp.","X1985",1,1985
"1683","Cyanea capillata","X1985",1,1985
"1684","Anthozoa","X1985",2,1985
"1685","Alcyonacea","X1985",2,1985
"1686","Gersemia sp.","X1985",1,1985
"1687","Gersemia rubiformis","X1985",3,1985
"1688","Gorgonacea","X1985",2,1985
"1689","Paragorgia sp.","X1985",1,1985
"1690","Paragorgia arborea","X1985",2,1985
"1691","Pennatulacea","X1985",1,1985
"1692","Virgularia sp.","X1985",3,1985
"1693","Virgularidae","X1985",1,1985
"1694","Stylatula sp.","X1985",3,1985
"1695","Halipteris sp.","X1985",3,1985
"1696","Halipteris finmarchia","X1985",3,1985
"1697","Halipteris willemoesi","X1985",3,1985
"1698","Actiniaria","X1985",1,1985
"1699","Actinauge verrillii","X1985",3,1985
"1700","Metridium sp.","X1985",1,1985
"1701","Metridium senile","X1985",3,1985
"1702","Metridium farcimen (=Metridium giganteum)","X1985",3,1985
"1703","Stomphia didemon","X1985",3,1985
"1704","Stomphia sp.","X1985",3,1985
"1705","Stomphia coccinea","X1985",3,1985
"1706","Urticina sp.","X1985",3,1985
"1707","Urticina crassicornis","X1985",3,1985
"1708","Urticina lofotensis","X1985",3,1985
"1709","Urticina columbiana","X1985",3,1985
"1710","Bathyphelia australis","X1985",3,1985
"1711","Cribrinopsis fernaldi","X1985",3,1985
"1712","Liponema brevicornis","X1985",1,1985
"1713","Actinostolidae","X1985",1,1985
"1714","Scleractinia unident.","X1985",3,1985
"1715","Amphilaphis sp.","X1985",2,1985
"1716","Ctenophora","X1985",1,1985
"1717","Beroe sp.","X1985",3,1985
"1718","Polychaeta","X1985",1,1985
"1719","worm unident.","X1985",1,1985
"1720","Eunice valens","X1985",3,1985
"1721","tube worm unident.","X1985",1,1985
"1722","Aphroditidae","X1985",1,1985
"1723","Aphrodita sp.","X1985",1,1985
"1724","Aphrodita negligens","X1985",3,1985
"1725","Nephtyidae unident.","X1985",3,1985
"1726","Nereidae","X1985",3,1985
"1727","Nereis sp.","X1985",3,1985
"1728","Cheilonereis cyclurus","X1985",3,1985
"1729","Polynoidae","X1985",1,1985
"1730","Eunoe sp.","X1985",1,1985
"1731","Eunoe nodosa","X1985",2,1985
"1732","Eunoe depressa","X1985",2,1985
"1733","Sabellidae","X1985",3,1985
"1734","Serpula vermicularis","X1985",3,1985
"1735","Serpula columbiana","X1985",3,1985
"1736","Serpula sp.","X1985",3,1985
"1737","Hirudinea unident.","X1985",1,1985
"1738","Carcinobdella
sp.","X1985",3,1985
"1739","Notostombdella (=Carcinobdella) cyclostoma","X1985",3,1985
"1740","Amphipoda","X1985",1,1985
"1741","Gammaridae","X1985",1,1985
"1742","Caprella sp.","X1985",1,1985
"1743","Isopoda","X1985",1,1985
"1744","Saduria entomon","X1985",3,1985
"1745","Mysidacea","X1985",2,1985
"1746","Cirripedia","X1985",1,1985
"1747","Thoracica","X1985",1,1985
"1748","Balanus sp.","X1985",1,1985
"1749","Balanus balanus","X1985",3,1985
"1750","Balanus evermanni","X1985",3,1985
"1751","Balanus hesperius","X1985",3,1985
"1752","Balanus rostratus","X1985",3,1985
"1753","shrimp unident.","X1985",1,1985
"1754","Pandalidae","X1985",1,1985
"1755","Pandalus sp.","X1985",2,1985
"1756","Pandalus jordani","X1985",3,1985
"1757","Pandalus borealis","X1985",2,1985
"1758","Pandalus tridens","X1985",2,1985
"1759","Pandalus platyceros","X1985",2,1985
"1760","Pandalus goniurus","X1985",2,1985
"1761","Pandalus hypsinotus","X1985",2,1985
"1762","Pandalopsis dispar","X1985",3,1985
"1763","Hippolytidae","X1985",1,1985
"1764","Spirontocaris sp.","X1985",2,1985
"1765","Spirontocaris arcuata","X1985",2,1985
"1766","Spirontocaris lamellicornis","X1985",2,1985
"1767","Eualus sp.","X1985",2,1985
"1768","Eualus barbatus","X1985",3,1985
"1769","Eualus fabricii","X1985",3,1985
"1770","Eualus gaimardii","X1985",3,1985
"1771","Eualus macilentus","X1985",3,1985
"1772","Eualus suckleyi","X1985",3,1985
"1773","Lebbeus sp.","X1985",3,1985
"1774","Lebbeus groenlandicus","X1985",2,1985
"1775","Lebbeus polaris","X1985",3,1985
"1776","Crangonidae","X1985",1,1985
"1777","Crangon sp.","X1985",2,1985
"1778","Crangon abyssorum","X1985",3,1985
"1779","Crangon alaskensis","X1985",3,1985
"1780","Crangon communis","X1985",2,1985
"1781","Crangon dalli","X1985",2,1985
"1782","Crangon septemspinosa","X1985",2,1985
"1783","Lissocrangon stylirostris","X1985",3,1985
"1784","Sclerocrangon
sp.","X1985",3,1985
"1785","Sclerocrangon boreas","X1985",3,1985
"1786","Argis sp.","X1985",2,1985
"1787","Argis alaskensis","X1985",3,1985
"1788","Argis dentata","X1985",3,1985
"1789","Argis lar","X1985",3,1985
"1790","Argis crassa","X1985",3,1985
"1791","Argis levior","X1985",3,1985
"1792","crab unident.","X1985",1,1985
"1793","Cancer sp.","X1985",1,1985
"1794","Cancer magister","X1985",1,1985
"1795","Cancer oregonensis","X1985",1,1985
"1796","Cancer productus","X1985",3,1985
"1797","Oregonia gracilis","X1985",1,1985
"1798","Chionoecetes sp.","X1985",1,1985
"1799","Chionoecetes tanneri","X1985",1,1985
"1800","Chionoecetes bairdi","X1985",1,1985
"1801","Chionoecetes angulatus","X1985",1,1985
"1802","Chionoecetes opilio","X1985",1,1985
"1803","Chionoecetes
hybrid","X1985",1,1985
"1804","Hyas sp.","X1985",1,1985
"1805","Hyas coarctatus","X1985",1,1985
"1806","Hyas lyratus","X1985",1,1985
"1807","Telmessus cheiragonus","X1985",1,1985
"1808","Paguridae","X1985",1,1985
"1809","Labidochirus splendescens","X1985",1,1985
"1810","Pagurus sp.","X1985",1,1985
"1811","Pagurus brandti","X1985",3,1985
"1812","Pagurus aleuticus","X1985",2,1985
"1813","Pagurus confragosus","X1985",2,1985
"1814","Pagurus cornutus","X1985",2,1985
"1815","Pagurus dalli","X1985",2,1985
"1816","Pagurus kennerlyi","X1985",2,1985
"1817","Pagurus trigonocheirus","X1985",2,1985
"1818","Pagurus beringanus","X1985",2,1985
"1819","Pagurus ochotensis","X1985",2,1985
"1820","Pagurus rathbuni","X1985",2,1985
"1821","Pagurus tanneri","X1985",2,1985
"1822","Pagurus capillatus","X1985",2,1985
"1823","Elassochirus tenuimanus","X1985",2,1985
"1824","Elassochirus cavimanus","X1985",2,1985
"1825","Elassochirus gilli","X1985",3,1985
"1826","Lithodes aequispina","X1985",1,1985
"1827","Dermaturus mandti","X1985",1,1985
"1828","Hapalogaster sp.","X1985",1,1985
"1829","Hapalogaster grebnitzkii","X1985",1,1985
"1830","Phyllolithodes papillosus","X1985",3,1985
"1831","Paralithodes camtschaticus","X1985",1,1985
"1832","Paralithodes platypus","X1985",1,1985
"1833","Placetron wosnessenskii","X1985",1,1985
"1834","Erimacrus isenbeckii","X1985",1,1985
"1835","Pugettia sp.","X1985",3,1985
"1836","Pugettia gracilis","X1985",3,1985
"1837","Mollusca","X1985",1,1985
"1838","Polyplacophora unident.","X1985",1,1985
"1839","Amicula vestita","X1985",1,1985
"1840","Nudibranchia unident.","X1985",1,1985
"1841","Onchidoris bilamellata","X1985",3,1985
"1842","Tochuina tetraquetra","X1985",3,1985
"1843","Dendronotus sp.","X1985",3,1985
"1844","Dendronotus frondosus","X1985",3,1985
"1845","Dendronotus subramosus","X1985",3,1985
"1846","Chlamylla sp.","X1985",3,1985
"1847","Tritonia diomedea","X1985",3,1985
"1848","Tritonia sp.","X1985",3,1985
"1849","Anisodoris nobilis","X1985",3,1985
"1850","dorid nudibranch unident.","X1985",3,1985
"1851","Archidoris odhneri","X1985",3,1985
"1852","limpet unident.","X1985",3,1985
"1853","Gastropod unident.","X1985",1,1985
"1854","gastropod eggs","X1985",1,1985
"1855","Buccinum sp.
eggs","X1985",1,1985
"1856","Neptunea sp. eggs","X1985",1,1985
"1857","Asterophila japonica","X1985",3,1985
"1858","Naticidae","X1985",1,1985
"1859","Naticidae eggs","X1985",1,1985
"1860","Cryptonatica
sp.","X1985",3,1985
"1861","Cryptonatica aleutica","X1985",3,1985
"1862","Cryptonatica affinis","X1985",3,1985
"1863","Natica sp.","X1985",3,1985
"1864","Natica clausa","X1985",3,1985
"1865","Natica russa","X1985",3,1985
"1866","Euspira sp.","X1985",3,1985
"1867","Euspira lewisi","X1985",3,1985
"1868","Euspira pallidus","X1985",3,1985
"1869","Lamellaria sp.","X1985",3,1985
"1870","Onchidiopsis glacialis","X1985",3,1985
"1871","Onchidiopsis sp. B (Clark & McLean)","X1985",3,1985
"1872","Capulacmaea commoda","X1985",3,1985
"1873","Tachyrhynchus erosus","X1985",1,1985
"1874","Crepidula sp.","X1985",1,1985
"1875","Crepidula grandis","X1985",1,1985
"1876","Colus sp.","X1985",3,1985
"1877","Colus herendeenii","X1985",3,1985
"1878","Colus hypolispus","X1985",3,1985
"1879","Colus ombronius","X1985",3,1985
"1880","Colus roseus","X1985",3,1985
"1881","Colus esychus","X1985",3,1985
"1882","Colus spitzbergensis","X1985",3,1985
"1883","Colus aphelus","X1985",3,1985
"1884","Colus halli","X1985",3,1985
"1885","Colus datuzenbergii","X1985",3,1985
"1886","Colus bristolensis","X1985",3,1985
"1887","Pyrulofusus sp.","X1985",1,1985
"1888","Pyrulofusus deformis","X1985",1,1985
"1889","Pyrulofusus harpa","X1985",1,1985
"1890","Pyrulofusus melonis","X1985",1,1985
"1891","Volutopsius sp.","X1985",3,1985
"1892","Volutopsius sp. eggs","X1985",1,1985
"1893","Volutopsius fragilis","X1985",3,1985
"1894","Volutopsius filosus","X1985",3,1985
"1895","Volutopsius castaneus","X1985",3,1985
"1896","Volutopsius simplex","X1985",3,1985
"1897","Volutopsius stefanssoni","X1985",3,1985
"1898","Volutopsius middendorffii","X1985",3,1985
"1899","Volutopsius trophonius","X1985",3,1985
"1900","Volutopsius callorhinus","X1985",3,1985
"1901","Beringius sp.","X1985",3,1985
"1902","Beringius kennicottii","X1985",3,1985
"1903","Beringius frielei","X1985",3,1985
"1904","Beringius beringii","X1985",3,1985
"1905","Beringius stimpsoni","X1985",3,1985
"1906","Beringius crebricostatus","X1985",3,1985
"1907","Beringius undatus","X1985",3,1985
"1908","Neptunea sp.","X1985",3,1985
"1909","Neptunea amianta","X1985",3,1985
"1910","Neptunea smirnia","X1985",3,1985
"1911","Neptunea pribiloffensis","X1985",3,1985
"1912","Neptunea tabulata","X1985",3,1985
"1913","Neptunea borealis","X1985",3,1985
"1914","Neptunea lyrata","X1985",3,1985
"1915","Neptunea ventricosa","X1985",3,1985
"1916","Neptunea insularis","X1985",3,1985
"1917","Neptunea heros","X1985",3,1985
"1918","Neptunea magna","X1985",3,1985
"1919","Neptunea sp. D (Clark & McLean)","X1985",3,1985
"1920","Plicifusus sp.","X1985",3,1985
"1921","Plicifusus incisus","X1985",3,1985
"1922","Plicifusus kroyeri","X1985",3,1985
"1923","Plicifusus oceanodromae","X1985",3,1985
"1924","Plicifusus griseus","X1985",3,1985
"1925","Liomesus sp.","X1985",3,1985
"1926","Liomesus ooides","X1985",3,1985
"1927","Ancistrolepis sp.","X1985",3,1985
"1928","Antiplanes sp.","X1985",3,1985
"1929","Aforia sp.","X1985",1,1985
"1930","Aforia goodei","X1985",3,1985
"1931","Aforia circinata","X1985",1,1985
"1932","Boreoscala groenlandica","X1985",2,1985
"1933","Oenopota sp.","X1985",3,1985
"1934","Oenopota harpa","X1985",3,1985
"1935","Trichotropidae","X1985",3,1985
"1936","Trichotropis coronata","X1985",3,1985
"1937","Trichotropis bicarinata","X1985",3,1985
"1938","Boreotrophon beringi","X1985",3,1985
"1939","Boreotrophon alaskanus","X1985",3,1985
"1940","Boreotrophon coronatus","X1985",3,1985
"1941","Boreotrophon clathratus","X1985",3,1985
"1942","Boreotrophon sp.","X1985",3,1985
"1943","Boreotrophon pacificus","X1985",3,1985
"1944","Fusitriton oregonensis","X1985",1,1985
"1945","Fusitriton sp.","X1985",1,1985
"1946","trochid unident.","X1985",3,1985
"1947","Margarites sp.","X1985",3,1985
"1948","Margarites pupillus","X1985",3,1985
"1949","Margarites giganteus","X1985",3,1985
"1950","Margarites argentatus","X1985",3,1985
"1951","Margarites costalis","X1985",3,1985
"1952","Solariella obscura","X1985",3,1985
"1953","Buccinum sp.","X1985",1,1985
"1954","Buccinum angulosum","X1985",3,1985
"1955","Buccinum oedematum","X1985",3,1985
"1956","Buccinum plectrum","X1985",3,1985
"1957","Buccinum scalariforme","X1985",3,1985
"1958","Buccinum polare","X1985",3,1985
"1959","Buccinum solenum","X1985",3,1985
"1960","Buccinum ciliatum","X1985",3,1985
"1961","Buccinum glaciale","X1985",3,1985
"1962","Buccinum tenellum","X1985",3,1985
"1963","Buccinum tricarinatum","X1985",3,1985
"1964","Arctomelon sp.","X1985",3,1985
"1965","Arctomelon stearnsii","X1985",3,1985
"1966","Arctomelon tamikoae","X1985",3,1985
"1967","Volutomitra alaskana","X1985",3,1985
"1968","Velutina undata","X1985",3,1985
"1969","Velutina plicatilis","X1985",3,1985
"1970","Velutina conica","X1985",3,1985
"1971","Velutina prolongata","X1985",3,1985
"1972","Velutina velutina","X1985",3,1985
"1973","Velutina sp.","X1985",3,1985
"1974","Admete laevior","X1985",3,1985
"1975","Admete regina","X1985",3,1985
"1976","Cylichna alba","X1985",3,1985
"1977","Bivalvia unident.","X1985",1,1985
"1978","Mytilidae","X1985",1,1985
"1979","Modiolus modiolus","X1985",3,1985
"1980","Mytilus sp.","X1985",3,1985
"1981","Mytilus edulis","X1985",3,1985
"1982","Pectinid unident.","X1985",1,1985
"1983","Chlamys sp.","X1985",1,1985
"1984","Chlamys behringiana","X1985",3,1985
"1985","Chlamys rubida","X1985",3,1985
"1986","Chlamys pseudoislandica","X1985",3,1985
"1987","Patinopecten caurinus","X1985",1,1985
"1988","Parvamussium alaskense","X1985",3,1985
"1989","Cyclopecten sp.","X1985",3,1985
"1990","Hiatella sp.","X1985",3,1985
"1991","Hiatella arctica","X1985",3,1985
"1992","Panomya arctica","X1985",3,1985
"1993","Panomya norvegica","X1985",3,1985
"1994","Nucula tenuis","X1985",3,1985
"1995","Yoldia sp.","X1985",3,1985
"1996","Yoldia seminuda","X1985",3,1985
"1997","Yoldia myalis","X1985",3,1985
"1998","Yoldia thraciaeformis","X1985",3,1985
"1999","Yoldia hyperborea","X1985",3,1985
"2000","Portlandia sp.","X1985",3,1985
"2001","Nuculana sp.","X1985",3,1985
"2002","Nuculana pernula","X1985",3,1985
"2003","Nuculana fossa","X1985",3,1985
"2004","Nuculana buccata","X1985",3,1985
"2005","Musculus sp.","X1985",3,1985
"2006","Musculus niger","X1985",3,1985
"2007","Musculus discors","X1985",1,1985
"2008","Musculus olivaceus","X1985",3,1985
"2009","Crenella seminuda","X1985",3,1985
"2010","Astarte crenata","X1985",3,1985
"2011","Astarte sp.","X1985",3,1985
"2012","Astarte borealis","X1985",3,1985
"2013","Astarte polaris","X1985",3,1985
"2014","Tridonta rollandi","X1985",3,1985
"2015","Cardita sp.","X1985",3,1985
"2016","Carditidae","X1985",3,1985
"2017","Cyclocardia crassidens","X1985",3,1985
"2018","Cyclocardia crebricostata","X1985",3,1985
"2019","Cyclocardia sp.","X1985",3,1985
"2020","Kellia laperousii","X1985",3,1985
"2021","cockle unident.","X1985",3,1985
"2022","Clinocardium sp.","X1985",3,1985
"2023","Clinocardium nuttallii","X1985",3,1985
"2024","Clinocardium ciliatum","X1985",3,1985
"2025","Clinocardium californiense","X1985",3,1985
"2026","Clinocardium blandum","X1985",3,1985
"2027","Saxidomus nuttalli","X1985",3,1985
"2028","Saxidomus giganteus","X1985",3,1985
"2029","Protothaca staminea","X1985",3,1985
"2030","Liocyma fluctosa","X1985",3,1985
"2031","Mactromeris sp.","X1985",2,1985
"2032","Mactromeris polynyma","X1985",2,1985
"2033","Tellina sp.","X1985",2,1985
"2034","Tellina nuculoides","X1985",2,1985
"2035","Tellina lutea","X1985",2,1985
"2036","Macoma sp.","X1985",2,1985
"2037","Macoma nasuta","X1985",3,1985
"2038","Macoma calcarea","X1985",3,1985
"2039","Macoma brota","X1985",3,1985
"2040","Siliqua sp.","X1985",1,1985
"2041","Siliqua patula","X1985",3,1985
"2042","Siliqua alta","X1985",1,1985
"2043","Serripes sp.","X1985",1,1985
"2044","Serripes groenlandicus","X1985",3,1985
"2045","Serripes laperousii","X1985",3,1985
"2046","Serripes notabilis","X1985",2,1985
"2047","Mya sp.","X1985",3,1985
"2048","Mya arenaria","X1985",3,1985
"2049","Mya truncata","X1985",3,1985
"2050","Mya pseudoarenaria","X1985",3,1985
"2051","Mya elegans","X1985",3,1985
"2052","Pododesmus macroschisma","X1985",1,1985
"2053","Pododesmus sp.","X1985",1,1985
"2054","Anomiidae","X1985",1,1985
"2055","Dentalium sp.","X1985",3,1985
"2056","Rhabdus dalli","X1985",3,1985
"2057","Cephalopoda unident.","X1985",1,1985
"2058","cuttlefish unident.","X1985",3,1985
"2059","Octopodidae","X1985",1,1985
"2060","pelagic octopus unident.","X1985",3,1985
"2061","Benthoctopus leioderma","X1985",3,1985
"2062","Octopus sp.","X1985",3,1985
"2063","Octopus dofleini","X1985",3,1985
"2064","Benthoctopus sp.","X1985",3,1985
"2065","Teuthoidea","X1985",1,1985
"2066","Rossia pacifica","X1985",1,1985
"2067","Loligo opalescens","X1985",3,1985
"2068","Gonatus sp.","X1985",3,1985
"2069","Berryteuthis magister","X1985",1,1985
"2070","Asteroidea unident.","X1985",1,1985
"2071","Evasterias sp.","X1985",1,1985
"2072","Evasterias troschelii","X1985",2,1985
"2073","Evasterias echinosoma","X1985",2,1985
"2074","Orthasterias koehleri","X1985",3,1985
"2075","Leptasterias groenlandica","X1985",2,1985
"2076","Leptasterias hexactis","X1985",3,1985
"2077","Leptasterias hylodes","X1985",3,1985
"2078","Leptasterias coei","X1985",3,1985
"2079","Pycnopodia helianthoides","X1985",1,1985
"2080","Lethasterias nanimensis","X1985",1,1985
"2081","Pedicellaster magister","X1985",3,1985
"2082","Henricia sp.","X1985",1,1985
"2083","Henricia sanguinolenta","X1985",3,1985
"2084","Henricia leviuscula","X1985",3,1985
"2085","Henricia tumida","X1985",3,1985
"2086","Odontohenricia
sp.","X1985",3,1985
"2087","Leptasterias polaris","X1985",1,1985
"2088","Leptasterias arctica","X1985",1,1985
"2089","Leptasterias sp.","X1985",1,1985
"2090","Henricia beringiana","X1985",3,1985
"2091","Gephyreaster swifti","X1985",1,1985
"2092","Pseudarchaster
sp.","X1985",1,1985
"2093","Pseudarchaster alascensis","X1985",3,1985
"2094","Pseudarchaster parelii","X1985",3,1985
"2095","Hippasteria spinosa","X1985",3,1985
"2096","Ceramaster sp.","X1985",1,1985
"2097","Ceramaster japonicus","X1985",3,1985
"2098","Ceramaster patagonicus","X1985",3,1985
"2099","Dermasterias imbricata","X1985",3,1985
"2100","Solaster sp.","X1985",1,1985
"2101","Solaster endeca","X1985",3,1985
"2102","Solaster dawsoni","X1985",3,1985
"2103","Solaster paxillatus","X1985",3,1985
"2104","Crossaster sp.","X1985",1,1985
"2105","Crossaster borealis","X1985",1,1985
"2106","Crossaster papposus","X1985",1,1985
"2107","Pteraster sp.","X1985",1,1985
"2108","Pteraster tesselatus","X1985",3,1985
"2109","Pteraster militaris","X1985",3,1985
"2110","Pteraster obscurus","X1985",1,1985
"2111","Diplopteraster multipes","X1985",1,1985
"2112","Diplopteraster sp.","X1985",1,1985
"2113","Asterias sp.","X1985",1,1985
"2114","Asterias amurensis","X1985",1,1985
"2115","Ctenodiscus sp.","X1985",3,1985
"2116","Ctenodiscus crispatus","X1985",3,1985
"2117","Leptychaster sp.","X1985",3,1985
"2118","Leptychaster anomalus","X1985",3,1985
"2119","Leptychaster pacificus","X1985",3,1985
"2120","Leptychaster arcticus","X1985",3,1985
"2121","Dipsacaster sp.","X1985",1,1985
"2122","Dipsacaster borealis","X1985",1,1985
"2123","Cheiraster (=Luidiaster) dawsoni","X1985",1,1985
"2124","Echinacea unident.","X1985",1,1985
"2125","Strongylocentrotus droebachiensis","X1985",3,1985
"2126","Strongylocentrotus
sp.","X1985",2,1985
"2127","Strongylocentrotus franciscanus","X1985",3,1985
"2128","Strongylocentrotus polyacanthus","X1985",3,1985
"2129","Strongylocentrotus pallidus","X1985",3,1985
"2130","Allocentrotus fragilis","X1985",2,1985
"2131","Allocentrotus sp.","X1985",2,1985
